Ashare,Breceive,totalshare,directionshare,socialass,zoo,AgeA,AgeB,age category,sex,trialduration,directionbeg
Feet,Cameron,2,1,0.57,T,A,A,AA,MM,10055,0
Feet,Cassia,6,3,0.56,T,A,A,AA,MM,10055,1
Feet,Chai,1,0,0.52,T,A,A,AA,MM,10055,0
Feet,Harry,2,1,0.46,T,A,J,AJ,MM,10055,1
Feet,Dougie,1,0,0.47,T,A,J,AJ,MM,10055,0
Feet,Kahn,0,0,0.32,T,A,J,AJ,MM,10055,0
Feet,Leah,4,0,0.46,T,A,A,AA,MF,10055,3
Feet,India,1,1,0.49,T,A,A,AA,MF,10055,0
Feet,Hazel,2,2,0.43,T,A,J,AJ,MF,10055,1
Feet,Daisy,0,0,0.51,T,A,J,AJ,MF,10055,0
Feet,Rani,0,0,0.34,T,A,J,AJ,MF,10055,3
Cameron,Feet,2,1,0.57,T,A,A,AA,MM,10055,0
Cameron,Cassia,5,2,0.62,T,A,A,AA,MM,10055,3
Cameron,Chai,2,1,0.53,T,A,A,AA,MM,10055,2
Cameron,Harry,1,0,0.43,T,A,J,AJ,MM,10055,0
Cameron,Dougie,1,0,0.41,T,A,J,AJ,MM,10055,2
Cameron,Kahn,1,0,0.28,T,A,J,AJ,MM,10055,1
Cameron,Leah,5,0,0.41,T,A,A,AA,MF,10055,4
Cameron,India,2,0,0.44,T,A,A,AA,MF,10055,1
Cameron,Hazel,1,1,0.42,T,A,J,AJ,MF,10055,2
Cameron,Daisy,1,1,0.46,T,A,J,AJ,MF,10055,0
Cameron,Rani,3,3,0.29,T,A,J,AJ,MF,10055,0
Cassia,Feet,6,3,0.56,T,A,A,AA,MM,10055,3
Cassia,Cameron,5,3,0.62,T,A,A,AA,MM,10055,0
Cassia,Chai,2,1,0.54,T,A,A,AA,MM,10055,0
Cassia,Harry,3,0,0.44,T,A,J,AJ,MM,10055,1
Cassia,Dougie,1,0,0.46,T,A,J,AJ,MM,10055,0
Cassia,Kahn,0,0,0.34,T,A,J,AJ,MM,10055,1
Cassia,Leah,9,4,0.44,T,A,A,AA,MF,10055,5
Cassia,India,5,3,0.47,T,A,A,AA,MF,10055,0
Cassia,Hazel,3,3,0.47,T,A,J,AJ,MF,10055,0
Cassia,Daisy,1,1,0.51,T,A,J,AJ,MF,10055,0
Cassia,Rani,2,0,0.34,T,A,J,AJ,MF,10055,0
Chai,Feet,1,1,0.52,T,A,A,AA,MM,10055,0
Chai,Cameron,2,1,0.53,T,A,A,AA,MM,10055,0
Chai,Cassia,2,1,0.54,T,A,A,AA,MM,10055,3
Chai,Harry,2,1,0.48,T,A,J,AJ,MM,10055,0
Chai,Dougie,1,1,0.52,T,A,J,AJ,MM,10055,0
Chai,Kahn,1,1,0.38,T,A,J,AJ,MM,10055,1
Chai,Leah,0,0,0.41,T,A,A,AA,MF,10055,5
Chai,India,5,4,0.56,T,A,A,AA,MF,10055,0
Chai,Hazel,0,0,0.48,T,A,J,AJ,MF,10055,0
Chai,Daisy,2,2,0.59,T,A,J,AJ,MF,10055,1
Chai,Rani,0,0,0.38,T,A,J,AJ,MF,10055,0
Harry,Feet,2,1,0.46,T,A,A,JA,MM,10055,3
Harry,Cameron,1,1,0.43,T,J,A,JA,MM,10055,0
Harry,Cassia,3,3,0.44,T,J,A,JA,MM,10055,0
Harry,Chai,2,0,0.48,T,J,A,JA,MM,10055,2
Harry,Dougie,0,0,0.56,T,J,J,JJ,MM,10055,1
Harry,Kahn,1,1,0.34,T,J,J,JJ,MM,10055,1
Harry,Leah,2,0,0.39,T,J,A,JA,MF,10055,1
Harry,India,1,0,0.51,T,J,A,JA,MF,10055,1
