zoo,ID,fooddensity,foodtype,trialorder,forcedclaim,unsuccessfulforcedclaim ,activebeg,passivebeg,totalbeg,collectnear,relaxedclaim,foodgiving,totalshareproonly,attackfromowner,trialduration,agecategory,sex,begreceived,ownersharebecauseharassed,TotalSharebothharasspro,sharingbybegonly
T,Feet,medium,trout,7,0,0,0,0,0,0,0,0,0,0,935,A,M,0,0,0,0
T,Feet,a_low,trout,8,0,0,0,2,2,0,0,0,0,0,677,A,M,0,0,0,0
T,Feet,high,trout,9,0,0,0,0,0,2,0,0,2,0,646,A,M,0,0,2,0
T,Feet,medium,crab,1,0,0,0,0,0,0,0,0,0,0,716,A,M,0,0,0,0
T,Feet,a_low,crab,2,0,0,0,0,0,0,0,0,0,0,426,A,M,0,0,0,0
T,Feet,high,crab,3,0,0,1,0,1,0,0,0,0,0,448,A,M,0,0,0,0
T,Feet,medium,mussel,4,0,1,1,0,1,1,0,0,1,0,1810,A,M,3,2,3,2
T,Feet,a_low,mussel,5,0,0,3,2,5,0,2,1,3,0,1817,A,M,1,1,4,1
T,Feet,high,mussel,6,0,0,0,0,0,0,1,1,2,0,2580,A,M,10,7,9,3
T,Cameron,medium,trout,7,0,0,1,2,3,0,0,0,0,0,935,A,M,1,0,0,0
T,Cameron,a_low,trout,8,0,0,2,2,4,0,0,0,0,1,677,A,M,0,0,0,0
T,Cameron,high,trout,9,0,0,0,0,0,0,0,0,0,0,646,A,M,0,0,0,0
T,Cameron,medium,crab,1,0,1,0,0,0,0,3,0,3,0,716,A,M,0,0,3,0
T,Cameron,a_low,crab,2,0,1,1,0,1,0,0,0,0,0,426,A,M,4,1,1,1
T,Cameron,high,crab,3,0,0,0,0,0,0,0,0,0,0,448,A,M,2,0,0,0
T,Cameron,medium,mussel,4,0,0,0,1,1,0,0,0,2,0,1810,A,M,2,2,4,1
T,Cameron,a_low,mussel,5,1,2,3,2,5,0,1,1,2,0,1817,A,M,4,2,4,2
T,Cameron,high,mussel,6,0,1,1,0,1,1,0,1,2,0,2580,A,M,4,1,3,1
T,Cassia,medium,trout,7,0,0,0,1,1,1,0,2,0,0,935,A,M,4,1,1,2
T,Cassia,a_low,trout,8,0,0,0,0,0,1,0,0,1,0,677,A,M,0,0,1,0
T,Cassia,high,trout,9,0,0,0,0,0,0,0,0,0,0,646,A,M,1,0,0,0
T,Cassia,medium,crab,1,0,0,0,0,0,0,2,0,2,0,716,A,M,0,0,2,0
T,Cassia,a_low,crab,2,0,0,0,0,0,1,0,0,1,1,426,A,M,11,4,5,2
T,Cassia,high,crab,3,0,0,0,0,0,2,2,0,4,0,448,A,M,1,0,4,0
T,Cassia,medium,mussel,4,0,1,1,0,1,0,1,2,3,1,1810,A,M,0,0,3,0
T,Cassia,a_low,mussel,5,0,0,2,1,3,0,1,2,3,0,1817,A,M,3,2,5,1
T,Cassia,high,mussel,6,0,0,1,2,3,1,0,1,2,0,2580,A,M,4,2,4,2
T,Chai,medium,trout,7,0,0,0,0,0,0,1,0,1,0,935,A,M,2,0,1,0
T,Chai,a_low,trout,8,0,0,0,1,1,0,0,0,0,0,677,A,M,1,0,0,0
T,Chai,high,trout,9,0,0,0,0,0,3,0,0,3,0,646,A,M,0,0,3,0
T,Chai,medium,crab,1,0,1,0,0,0,0,3,0,3,0,716,A,M,0,1,4,0
T,Chai,a_low,crab,2,0,1,2,0,0,1,0,0,1,0,426,A,M,2,1,2,0
T,Chai,high,crab,3,0,0,0,0,0,1,1,0,2,0,448,A,M,0,0,2,0
T,Chai,medium,mussel,4,0,0,0,1,1,0,1,0,1,0,1810,A,M,0,0,1,0
T,Chai,a_low,mussel,5,1,0,4,1,5,0,0,0,0,1,1817,A,M,3,1,1,1
T,Chai,high,mussel,6,0,0,0,1,1,1,0,2,3,0,2580,A,M,8,5,8,1
T,Harry,medium,trout,7,0,0,0,1,1,0,0,0,0,0,935,J,M,3,0,0,0
T,Harry,a_low,trout,8,0,0,0,0,0,2,0,0,2,0,677,J,M,0,0,2,0
T,Harry,high,trout,9,0,0,0,0,0,0,0,0,0,0,646,J,M,1,1,1,0
T,Harry,medium,crab,1,0,2,0,0,0,0,3,0,3,0,716,J,M,0,2,5,2
T,Harry,a_low,crab,2,0,0,0,2,2,0,0,0,0,0,426,J,M,2,0,0,0
T,Harry,high,crab,3,0,0,0,0,0,0,0,0,0,0,448,J,M,3,0,0,0
T,Harry,medium,mussel,4,0,0,2,2,4,1,1,0,2,0,1810,J,M,3,1,3,1
T,Harry,a_low,mussel,5,0,0,1,0,1,1,0,0,1,1,1817,J,M,0,0,1,0
T,Harry,high,mussel,6,0,0,0,2,2,2,1,0,3,0,2580,J,M,13,7,10,2
T,Dougie,medium,trout,7,0,0,0,0,0,1,0,0,1,0,935,J,M,1,0,1,0
T,Dougie,a_low,trout,8,0,0,0,0,1,0,0,0,0,0,677,J,M,2,0,0,0
T,Dougie,high,trout,9,0,0,0,0,0,0,0,0,0,0,646,J,M,0,0,0,0
T,Dougie,medium,crab,1,0,0,1,2,3,0,0,0,0,0,716,J,M,0,0,0,0
T,Dougie,a_low,crab,2,0,0,0,0,0,0,0,0,0,0,426,J,M,1,0,0,0
T,Dougie,high,crab,3,0,0,0,0,0,0,0,0,0,0,448,J,M,2,0,0,0
T,Dougie,medium,mussel,4,0,2,4,2,6,0,1,0,1,0,1810,J,M,0,0,1,0
T,Dougie,a_low,mussel,5,0,2,2,2,4,0,3,0,3,0,1817,J,M,3,0,3,0
T,Dougie,high,mussel,6,0,0,1,1,2,1,1,0,2,0,2580,J,M,0,0,2,0
T,Kahn,medium,trout,7,0,0,0,6,6,0,0,0,0,0,935,J,M,1,0,0,0
T,Kahn,a_low,trout,8,0,0,0,0,0,0,0,0,0,0,677,J,M,1,0,0,0
T,Kahn,high,trout,9,0,0,0,0,0,0,0,0,0,0,646,J,M,1,0,0,0
T,Kahn,medium,crab,1,0,1,1,1,2,0,0,0,0,0,716,J,M,0,0,0,0
T,Kahn,a_low,crab,2,1,5,2,9,11,0,0,0,0,0,426,J,M,0,0,0,0
T,Kahn,high,crab,3,0,0,3,2,5,1,0,0,1,0,448,J,M,0,0,1,0
T,Kahn,medium,mussel,4,0,0,2,1,3,1,0,0,1,0,1810,J,M,0,4,5,0
T,Kahn,a_low,mussel,5,0,1,5,4,9,0,0,0,2,1,1817,J,M,1,1,3,0
T,Kahn,high,mussel,6,0,0,3,12,15,1,1,0,0,0,2580,J,M,0,1,1,0
T,Leah,medium,trout,7,0,0,0,0,0,1,0,0,1,0,935,A,F,1,1,2,0
T,Leah,a_low,trout,8,0,0,0,3,3,5,0,0,5,0,677,A,F,0,0,5,0
T,Leah,high,trout,9,0,0,0,3,3,6,0,0,6,0,646,A,F,0,0,6,0
T,Leah,medium,crab,1,0,2,0,0,0,0,2,0,2,0,716,A,F,0,0,2,0
T,Leah,a_low,crab,2,0,0,0,0,0,0,4,0,4,0,426,A,F,10,1,5,0
T,Leah,high,crab,3,0,0,1,0,1,0,0,0,0,0,448,A,F,0,0,0,0
T,Leah,medium,mussel,4,0,0,1,0,0,2,1,1,4,1,1810,A,F,13,4,8,4
T,Leah,a_low,mussel,5,0,0,0,0,0,2,0,0,2,0,1817,A,F,20,2,4,0
T,Leah,high,mussel,6,1,0,2,0,2,3,1,2,6,0,2580,A,F,5,1,7,1
T,India,medium,trout,7,0,0,0,1,1,1,0,0,1,0,935,A,F,1,1,2,0
T,India,a_low,trout,8,0,0,0,1,1,0,0,0,0,0,677,A,F,0,0,0,0
T,India,high,trout,9,0,0,0,0,0,1,0,0,1,0,646,A,F,0,0,1,0
T,India,medium,crab,1,1,2,0,0,0,0,1,0,1,0,716,A,F,0,0,1,0
T,India,a_low,crab,2,0,1,1,1,2,1,0,0,1,0,426,A,F,0,0,1,0
T,India,high,crab,3,0,0,0,0,0,1,0,0,1,0,448,A,F,0,0,1,0
T,India,medium,mussel,4,0,0,2,1,3,0,2,0,2,0,1810,A,F,3,3,5,2
T,India,a_low,mussel,5,0,0,2,1,3,1,2,0,3,1,1817,A,F,1,1,4,1
T,India,high,mussel,6,2,2,1,1,2,0,1,0,1,0,2580,A,F,4,3,4,2
T,Hazel,medium,trout,7,0,0,0,3,3,0,0,0,0,1,935,J,F,0,1,1,0
T,Hazel,a_low,trout,8,0,0,0,0,0,0,0,0,0,0,677,J,F,2,0,0,0
T,Hazel,high,trout,9,0,0,1,1,0,0,0,0,0,0,646,J,F,0,0,0,0
T,Hazel,medium,crab,1,0,2,0,1,1,0,0,0,0,0,716,J,F,0,1,1,0
T,Hazel,a_low,crab,2,0,0,3,4,7,0,0,0,0,0,426,J,F,0,0,0,0
T,Hazel,high,crab,3,0,0,1,1,2,0,0,0,0,0,448,J,F,1,0,0,0
T,Hazel,medium,mussel,4,0,0,5,3,8,0,0,0,0,0,1810,J,F,0,0,0,0
T,Hazel,a_low,mussel,5,0,0,0,1,1,1,0,0,1,1,1817,J,F,0,0,1,0
T,Hazel,high,mussel,6,0,1,3,9,12,1,0,0,1,0,2580,J,F,3,1,2,1
T,Daisy,medium,trout,7,0,0,0,0,0,0,0,0,0,0,935,J,F,1,0,0,0
T,Daisy,a_low,trout,8,0,0,0,0,0,0,0,0,0,0,677,J,F,2,1,1,1
T,Daisy,high,trout,9,0,0,0,0,0,0,0,0,0,0,646,J,F,1,0,0,1
T,Daisy,medium,crab,1,1,1,1,1,2,0,0,0,0,0,716,J,F,1,1,1,1
T,Daisy,a_low,crab,2,0,0,3,3,6,0,0,0,0,0,426,J,F,1,1,1,1
T,Daisy,high,crab,3,0,0,1,0,1,0,0,0,0,0,448,J,F,0,0,0,0
T,Daisy,medium,mussel,4,0,1,2,2,4,1,1,1,3,0,1810,J,F,2,1,4,0
T,Daisy,a_low,mussel,5,0,0,1,0,1,0,0,0,0,0,1817,J,F,0,0,0,0
T,Daisy,high,mussel,6,1,0,3,5,8,0,0,0,0,0,2580,J,F,0,0,0,0
T,Rani,medium,trout,7,0,0,0,2,2,0,0,0,0,0,935,J,F,0,0,0,0
T,Rani,a_low,trout,8,0,0,0,0,0,1,0,0,1,0,677,J,F,2,0,1,0
T,Rani,high,trout,9,0,0,0,0,0,2,0,0,2,0,646,J,F,1,0,2,0
T,Rani,medium,crab,1,0,0,0,0,0,0,0,0,0,0,716,J,F,5,3,3,3
T,Rani,a_low,crab,2,0,0,0,0,0,0,0,0,0,0,426,J,F,0,0,0,0
T,Rani,high,crab,3,0,0,0,0,0,0,0,0,0,0,448,J,F,0,0,0,0
T,Rani,medium,mussel,4,0,0,1,2,3,1,0,0,1,0,1810,J,F,3,0,1,0
T,Rani,a_low,mussel,5,1,1,1,0,1,0,0,0,0,0,1817,J,F,2,0,0,0
T,Rani,high,mussel,6,0,0,1,3,4,0,1,0,1,0,2580,J,F,2,1,2,1
N,Tope,medium,trout,7,0,0,0,0,0,4,1,0,5,0,1274,A,M,0,0,5,0
N,Tope,a_low,trout,8,1,0,1,0,1,0,0,0,0,0,661,A,M,0,0,0,0
N,Tope,high,trout,9,0,0,0,0,0,0,0,0,0,0,1754,A,M,0,0,0,0
N,Tope,medium,crab,1,1,0,1,0,1,0,1,0,1,0,1802,A,M,7,1,2,1
N,Tope,a_low,crab,2,0,0,2,0,2,0,0,0,0,0,528,A,M,3,0,0,0
N,Tope,high,crab,3,0,1,2,0,2,3,0,0,3,0,2451,A,M,2,1,4,1
N,Tope,medium,mussel,4,0,0,1,0,1,1,3,1,5,0,1450,A,M,5,0,5,0
N,Tope,a_low,mussel,5,0,0,0,0,0,0,0,0,0,0,2344,A,M,0,0,0,0
N,Tope,high,mussel,6,0,0,1,0,1,3,4,1,8,0,1564,A,M,1,2,10,1
N,Charlie,medium,trout,7,0,0,0,1,1,2,1,0,3,0,1274,J,M,1,0,3,0
N,Charlie,a_low,trout,8,1,0,0,2,2,1,0,0,1,0,661,J,M,0,1,2,0
N,Charlie,high,trout,9,0,0,2,1,3,2,0,0,2,0,1754,J,M,0,1,3,0
N,Charlie,medium,crab,1,4,3,7,2,9,1,2,0,3,0,1802,J,M,3,2,5,0
N,Charlie,a_low,crab,2,0,0,1,0,1,0,0,0,0,0,528,J,M,2,1,1,0
N,Charlie,high,crab,3,0,3,1,0,1,2,0,0,2,0,2451,J,M,2,2,4,1
N,Charlie,medium,mussel,4,1,0,1,0,1,0,2,0,2,0,1450,J,M,0,1,3,0
N,Charlie,a_low,mussel,5,0,0,0,0,0,0,0,0,0,0,2344,J,M,0,0,0,0
N,Charlie,high,mussel,6,0,0,0,0,0,1,0,0,1,0,1564,J,M,1,0,1,0
N,Pepe,medium,trout,7,1,2,3,1,4,3,0,0,3,0,1274,J,M,1,1,4,0
N,Pepe,a_low,trout,8,0,0,1,0,1,1,2,0,0,0,661,J,M,0,0,0,0
N,Pepe,high,trout,9,1,2,1,1,2,1,0,0,0,0,1754,J,M,3,0,0,0
N,Pepe,medium,crab,1,2,6,5,5,10,0,0,0,0,0,1802,J,M,3,5,5,1
N,Pepe,a_low,crab,2,0,0,1,0,1,1,0,0,1,0,528,J,M,0,2,3,0
N,Pepe,high,crab,3,2,4,2,0,2,0,0,0,0,0,2451,J,M,0,0,0,0
N,Pepe,medium,mussel,4,0,0,1,0,1,0,0,0,0,0,1450,J,M,0,0,0,0
N,Pepe,a_low,mussel,5,0,0,0,0,0,0,0,0,0,0,2344,J,M,0,0,0,0
N,Pepe,high,mussel,6,0,0,1,0,1,0,0,0,0,0,1564,J,M,0,0,0,0
N,Jam,medium,trout,7,0,0,0,0,0,3,1,0,4,0,1274,A,F,0,0,4,0
N,Jam,a_low,trout,8,0,0,0,1,1,0,0,0,0,0,661,A,F,0,0,0,0
N,Jam,high,trout,9,0,0,0,0,0,2,1,0,3,0,1754,A,F,0,0,3,0
N,Jam,medium,crab,1,1,3,3,1,4,1,3,0,4,0,1802,A,F,2,2,6,1
N,Jam,a_low,crab,2,0,0,0,2,2,0,1,0,1,0,528,A,F,0,0,1,0
N,Jam,high,crab,3,0,0,4,0,4,1,2,0,3,0,2451,A,F,0,0,3,0
N,Jam,medium,mussel,4,0,0,1,4,5,0,3,0,3,0,1450,A,F,0,0,3,0
N,Jam,a_low,mussel,5,0,0,0,0,0,0,1,0,1,0,2344,A,F,0,0,1,0
N,Jam,high,mussel,6,0,0,0,0,0,0,0,0,0,0,1564,A,F,0,0,0,0
N,Pod,medium,trout,7,0,0,0,0,0,3,1,0,4,0,1274,A,F,2,0,4,0
N,Pod,a_low,trout,8,0,0,0,0,0,1,0,0,1,0,661,A,F,7,5,6,5
N,Pod,high,trout,9,0,0,0,0,0,2,2,0,4,0,1754,A,F,2,0,4,0
N,Pod,medium,crab,1,1,0,2,1,3,3,1,0,4,0,1802,A,F,3,1,5,1
N,Pod,a_low,crab,2,0,0,2,0,2,1,0,0,1,0,528,A,F,0,0,1,0
N,Pod,high,crab,3,1,0,0,0,0,3,1,0,4,0,2451,A,F,4,1,5,2
N,Pod,medium,mussel,4,0,0,1,0,1,0,0,1,1,0,1450,A,F,8,2,3,1
N,Pod,a_low,mussel,5,0,0,0,0,0,0,1,2,3,0,2344,A,F,1,0,3,0
N,Pod,high,mussel,6,0,1,0,0,0,1,0,2,3,0,1564,A,F,2,2,5,1
N,Meg,medium,trout,7,0,0,1,0,1,3,1,0,4,0,1274,J,F,1,0,4,0
N,Meg,a_low,trout,8,0,1,0,2,2,0,0,0,0,0,661,J,F,2,2,2,2
N,Meg,high,trout,9,0,0,0,0,0,0,1,0,1,0,1754,J,F,2,1,2,1
N,Meg,medium,crab,1,0,1,1,1,2,0,0,1,1,0,1802,J,F,3,3,4,1
N,Meg,a_low,crab,2,1,0,0,1,1,2,0,0,2,0,528,J,F,0,0,2,0
N,Meg,high,crab,3,0,1,1,0,1,0,0,0,0,0,2451,J,F,0,0,0,0
N,Meg,medium,mussel,4,0,1,1,0,1,0,0,0,0,0,1450,J,F,0,0,0,0
N,Meg,a_low,mussel,5,0,0,0,0,0,0,0,0,0,0,2344,J,F,0,0,0,0
N,Meg,high,mussel,6,0,1,1,0,1,1,2,1,4,0,1564,J,F,0,0,4,0
N,Dot,medium,trout,7,1,0,3,0,3,3,1,0,4,0,1274,J,F,1,2,6,1
N,Dot,a_low,trout,8,0,0,0,0,0,0,1,0,1,0,661,J,F,0,1,2,0
N,Dot,high,trout,9,0,0,2,0,2,3,0,0,3,0,1754,J,F,4,2,5,2
N,Dot,medium,crab,1,4,2,1,0,1,1,0,0,1,0,1802,J,F,5,4,5,0
N,Dot,a_low,crab,2,1,1,0,0,0,0,0,0,0,0,528,J,F,5,0,0,0
N,Dot,high,crab,3,2,2,1,0,1,1,2,0,3,0,2451,J,F,3,3,6,0
N,Dot,medium,mussel,4,1,1,3,1,4,1,2,0,3,0,1450,J,F,1,0,3,0
N,Dot,a_low,mussel,5,0,0,1,0,1,1,2,0,3,0,2344,J,F,0,0,3,0
N,Dot,high,mussel,6,1,0,1,0,1,1,0,0,0,0,1564,J,F,0,0,0,0
N,Rosie,medium,trout,7,0,0,3,0,3,3,2,1,6,0,1274,J,F,4,1,7,1
N,Rosie,a_low,trout,8,1,0,1,1,2,1,0,0,1,0,661,J,F,0,1,2,0
N,Rosie,high,trout,9,1,0,4,1,5,1,0,0,0,0,1754,J,F,1,0,0,0
N,Rosie,medium,crab,1,1,0,3,0,3,0,1,0,1,0,1802,J,F,6,0,1,0
N,Rosie,a_low,crab,2,0,1,2,0,2,0,0,0,0,0,528,J,F,1,0,0,0
N,Rosie,high,crab,3,1,0,0,0,0,0,0,0,0,0,2451,J,F,0,1,1,0
N,Rosie,medium,mussel,4,0,1,1,1,2,0,1,0,1,0,1450,J,F,2,1,2,0
N,Rosie,a_low,mussel,5,0,1,0,0,0,0,0,0,0,0,2344,J,F,0,0,0,0
N,Rosie,high,mussel,6,0,1,0,0,0,1,3,1,5,0,1564,J,F,0,1,6,0
