tconst,titleType,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,nconst,director
tt0002130,movie,Dante's Inferno,1911,68,"Adventure,Drama,Fantasy",7,2082,nm0078205,Francesco Bertolini
tt0002844,movie,Fantômas: In the Shadow of the Guillotine,1913,54,"Crime,Drama",7,1877,nm0275421,Louis Feuillade
tt0003037,movie,Fantomas: The Man in Black,1913,61,"Crime,Drama",7,1307,nm0275421,Louis Feuillade
tt0003165,movie,Fantômas: The Dead Man Who Killed,1913,90,"Crime,Drama,Mystery",7,1010,nm0275421,Louis Feuillade
tt0003419,movie,The Student of Prague,1913,85,"Drama,Fantasy,Horror",6.5,1686,nm0753233,Stellan Rye
tt0003643,movie,The Avenging Conscience: or 'Thou Shalt Not Kill',1914,78,"Crime,Drama,Horror",6.5,1068,nm0000428,D.W. Griffith
tt0003740,movie,Cabiria,1914,148,"Adventure,Drama,History",7.1,2907,nm0665163,Giovanni Pastrone
tt0003930,movie,Fantomas: The Mysterious Finger Print,1914,59,"Crime,Drama",6.9,1126,nm0275421,Louis Feuillade
tt0004181,movie,Judith of Bethulia,1914,61,Drama,6.2,1207,nm0000428,D.W. Griffith
tt0004707,movie,Tillie's Punctured Romance,1914,82,Comedy,6.3,3196,nm0784407,Mack Sennett
tt0004972,movie,The Birth of a Nation,1915,195,"Drama,History,War",6.4,21195,nm0000428,D.W. Griffith
tt0005078,movie,The Cheat,1915,59,"Drama,Romance",6.6,2243,nm0001124,Cecil B. DeMille
tt0005960,movie,The Regeneration,1915,72,"Biography,Crime,Drama",6.8,1067,nm0909825,Raoul Walsh
tt0006206,movie,Les vampires,1915,421,"Action,Adventure,Crime",7.3,3998,nm0275421,Louis Feuillade
tt0006333,movie,"20,000 Leagues Under the Sea",1916,105,"Action,Adventure,Sci-Fi",6.2,1462,nm0665737,Stuart Paton
tt0006864,movie,Intolerance: Love's Struggle Throughout the Ages,1916,163,"Drama,History",7.8,13317,nm0000428,D.W. Griffith
tt0008443,movie,The Poor Little Rich Girl,1917,65,"Comedy,Drama,Family",6.7,1232,nm0869665,Maurice Tourneur
tt0009369,movie,Mickey,1918,93,"Comedy,Drama",5.9,1048,nm0428059,F. Richard Jones
tt0009652,movie,Stella Maris,1918,84,Drama,6.7,1340,nm0624714,Marshall Neilan
tt0009878,movie,Different from the Others,1919,50,"Crime,Drama,History",7,1070,nm0652650,Richard Oswald
tt0009893,movie,The Oyster Princess,1919,60,Comedy,7.2,1580,nm0523932,Ernst Lubitsch
tt0009968,movie,Broken Blossoms,1919,90,"Drama,Romance",7.3,8966,nm0000428,D.W. Griffith
tt0010040,movie,Daddy-Long-Legs,1919,85,"Comedy,Drama",6.5,1290,nm0624714,Marshall Neilan
tt0010071,movie,Don't Change Your Husband,1919,71,Comedy,6.6,1109,nm0001124,Cecil B. DeMille
tt0010247,movie,Sir Arne's Treasure,1919,122,"Drama,History",7.3,1139,nm0830249,Mauritz Stiller
tt0010281,movie,I Don't Want to Be a Man,1918,45,"Comedy,Romance",6.9,1179,nm0523932,Ernst Lubitsch
tt0010307,movie,J'accuse!,1919,166,"Drama,Horror,War",7.7,1345,nm0304098,Abel Gance
tt0010323,movie,The Cabinet of Dr. Caligari,1920,76,"Fantasy,Horror,Mystery",8.1,52649,nm0927468,Robert Wiene
tt0010418,movie,Male and Female,1919,116,"Adventure,Drama",7,1683,nm0001124,Cecil B. DeMille
tt0010600,movie,The Doll,1919,66,"Comedy,Fantasy",7.4,1579,nm0523932,Ernst Lubitsch
tt0010726,movie,The Spiders - Episode 1: The Golden Sea,1919,81,"Adventure,Western",6.7,1006,nm0000485,Fritz Lang
tt0010806,movie,True Heart Susie,1919,87,"Comedy,Drama,Romance",7,1555,nm0000428,D.W. Griffith
tt0011000,movie,Leaves From Satan's Book,1920,167,Drama,6.7,1047,nm0003433,Carl Theodor Dreyer
tt0011130,movie,Dr. Jekyll and Mr. Hyde,1920,82,"Drama,Horror,Sci-Fi",7,4561,nm0731910,John S. Robertson
tt0011237,movie,The Golem,1920,76,"Fantasy,Horror",7.2,6128,nm0091380,Carl Boese
tt0011387,movie,The Last of the Mohicans,1920,73,"Action,Adventure,Drama",6.7,1063,nm0113284,Clarence Brown
