Species,Taxonomic_group,Social_learning,Research_effort,ECV,Group_size,Gestation,Weaning,Longevity,Sex_maturity,Body_mass,Maternal_investment,Repro_lifespan
Allenopithecus_nigroviridis,Catarrhini,0,6,58.02,40,NA,106.15,276,NA,4655,NA,NA
Allocebus_trichotis,Catarrhini,0,6,NA,1,NA,NA,NA,NA,78.09,NA,NA
Alouatta_belzebul,Platyrrhini,0,15,52.84,7.4,NA,NA,NA,NA,6395,NA,NA
Alouatta_caraya,Platyrrhini,0,45,52.63,8.9,185.92,323.16,243.6,1276.72,5383,509.08,6132.78
Alouatta_guariba,Platyrrhini,0,37,51.7,7.4,NA,NA,NA,NA,5175,NA,NA
Alouatta_palliata,Platyrrhini,3,79,49.88,13.1,185.42,495.6,300,1578.42,6250,681.02,7546.58
Alouatta_pigra,Platyrrhini,0,25,51.13,5.5,185.92,NA,240,NA,8915,NA,NA
Alouatta_sara,Platyrrhini,0,4,59.08,NA,NA,NA,NA,NA,6611.04,NA,NA
Alouatta_seniculus,Platyrrhini,0,82,55.22,7.9,189.9,370.04,300,1690.22,5950,559.94,7434.78
Aotus_azarai,Platyrrhini,0,22,20.67,4.1,NA,229.69,NA,NA,1205,NA,NA
Aotus_azarai_boliviensis,Platyrrhini,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aotus_brumbacki,Platyrrhini,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aotus_infulatus,Platyrrhini,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aotus_lemurinus,Platyrrhini,0,16,16.3,NA,132.23,74.57,216,755.15,734,206.8,5814.85
Aotus_lemurinus_griseimembra,Platyrrhini,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aotus_nancymaae,Platyrrhini,0,5,NA,4,NA,NA,NA,NA,791.03,NA,NA
Aotus_nigriceps,Platyrrhini,0,1,NA,3.3,NA,NA,NA,NA,958,NA,NA
Aotus_trivirgatus,Platyrrhini,0,58,16.85,3.15,133.47,76.21,303.6,736.6,989,209.68,8497.9
Aotus_vociferans,Platyrrhini,0,12,NA,3.3,NA,NA,NA,NA,703,NA,NA
Archaeolemur_majori,Strepsirhini,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arctocebus_aureus,Strepsirhini,NA,NA,5.88,NA,NA,NA,NA,NA,210,NA,NA
Arctocebus_calabarensis,Strepsirhini,0,1,6.92,1,133.74,109.26,156,298.91,309,243,4446.09
Ateles_belzebuth,Platyrrhini,0,12,117.02,14.5,138.2,NA,336,NA,8167,NA,NA
Ateles_fusciceps,Platyrrhini,0,4,114.24,NA,224.7,482.7,288,1799.68,9025,707.4,6960.32
Ateles_geoffroyi,Platyrrhini,2,58,105.09,42,226.37,816.35,327.6,2104.57,7535,1042.72,7859.93
Ateles_paniscus,Platyrrhini,0,30,103.85,20,228.18,805.41,453.6,2104.57,8280,1033.59,11692.43
Avahi_cleesei,Strepsirhini,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Avahi_laniger,Strepsirhini,0,10,9.86,2,136.15,149.15,NA,NA,1207,285.3,NA
Avahi_occidentalis,Strepsirhini,0,6,7.95,3,NA,NA,NA,NA,801,NA,NA
