Scientific_Name,Family,Genus,Species,Brain_Size_Species_Mean,Body_mass_male_mean,Body_mass_female_mean,MeanGroupSize,AdultMales,AdultFemale,GR_MidRangeLat_dd,Precip_Mean_mm,Temp_Mean_degC,HomeRange_km2,DayLength_km,Fruit,Leaves,Fauna,Canine_Dimorphism,Feed,Move,Rest,Social
Allenopithecus_nigroviridis,Cercopithecidae,Allenopithecus,nigroviridis,58.02,6130,3180,,,,-0.17,1574,25.2,,,,,,2.21,,,,
Allocebus_trichotis,Cercopithecidae,Allocebus,trichotis,,92,84,1,1,1,-16.59,1902.3,20.3,,,,,,,,,,
Alouatta_belzebul,Atelidae,Alouatta,belzebul,52.84,7270,5520,7,1,1,-6.8,1643.5,24.9,,,57.3,19.1,0,1.811,13.75,18.75,57.3,10
Alouatta_caraya,Atelidae,Alouatta,caraya,52.63,6525,4240,8,2.3,3.3,-20.34,1166.4,22.9,,0.4,23.8,67.7,0,1.542,15.9,17.6,61.6,4.9
Alouatta_guariba,Atelidae,Alouatta,guariba,51.7,5800,4550,6.53,1.37,2.2,-21.13,1332.3,19.6,0.03,,5.2,73,0,1.783,18.33,14.33,64.37,3
Alouatta_palliata,Atelidae,Alouatta,palliata,49.88,7150,5350,12,2.9,6.3,6.95,1852.6,23.7,0.19,0.32,33.1,56.4,0,1.703,17.94,12.32,66.14,3.64
Alouatta_pigra,Atelidae,Alouatta,pigra,51.13,11400,6430,6.6,1.925,2.175,18.8,1341.3,25.1,0.3,,40.8,45.1,0,1.109,24.4,9.8,61.9,3.8
Alouatta_seniculus,Atelidae,Alouatta,seniculus,55.22,6690,5210,7.1,1.7,2.2,0.68,1823.4,25.1,0.1,0.55,40,48.1,0,1.464,12.7,6.2,78.5,2.5
Aotus_azarai,Cebidae,Aotus,azarai,20.67,1180,1230,3.1,1,1,-17.05,1010.9,24.6,0.095,,45,41,,,,,,
Aotus_brumbacki,Cebidae,Aotus,brumbacki,,,,3,1,1,,,,,,,,,,,,,
Aotus_lemurinus,Cebidae,Aotus,lemurinus,16.3,752.8,716.1,,,,,,,,,,,,1.171,,,,
Aotus_nancymaae,Cebidae,Aotus,nancymaae,,794,780,3.9,1,1,-4.59,2280.4,26.1,,,,,,,,,,
Aotus_nigriceps,Cebidae,Aotus,nigriceps,,875,1040,4.1,1,1,-7.72,1807.1,25.2,0.105,0.708,60,,,,,,,
Aotus_trivirgatus,Cebidae,Aotus,trivirgatus,16.85,1044.4,933.3,2.9,1,1,4.15,1786,24.8,0.02,0.66,45.5,10,15,1.11,,,,
Aotus_vociferans,Cebidae,Aotus,vociferans,,708,698,3.3,1,1,1.06,2174.4,25.3,,,,,,,,,,
Arctocebus_calabarensis,Lorisidae,Arctocebus,calabarensis,6.92,312,306,,,,5.52,1844.4,24.8,,,,,,1,,,,
Ateles_belzebuth,Atelidae,Ateles,belzebuth,117.02,7850,8484.4,22.125,4.25,8.75,-0.44,2270.1,25.8,2.28,2.3,82.7,9,0.4,,18.97,23.53,54.73,2.73
Ateles_fusciceps,Atelidae,Ateles,fusciceps,114.24,8890,9160,,,,,,,,,,,,,,,,
Ateles_geoffroyi,Atelidae,Ateles,geoffroyi,105.09,7780,7290,15,,4.1,12.38,1539.3,24.3,0.73,1.7,76.8,14.9,1.4,1.579,33.5,32.6,24.1,9.8
Ateles_paniscus,Atelidae,Ateles,paniscus,103.85,8490,8070,18.2,4,2.3,2.06,1576.9,25.6,1.36,2.4,79.8,7.9,0.1,1.567,,,,0.9
Avahi_laniger,Indriidae,Avahi,laniger,9.86,1106,1307,3,1,1,-19.63,1769,19.7,0.01,0.46,,,,0.942,,,,
Avahi_occidentalis,Indriidae,Avahi,occidentalis,7.95,836.3,766.5,3.5,1,1,-17.38,1184.4,24.9,0.01,,,,,,,,,
Brachyteles_arachnoides,Atelidae,Brachyteles,arachnoides,116.72,9610,8070,20.9,7,7.1,-22.66,1327,21.2,1.04,0.9,20.8,67.1,0,1.336,27.8,9.7,61,1.6
