id,sex,sex.code,mcp50,mcp80,mcp95,kernel50,kernel80,kernel95
Ana,F,1,122.939566,182.2677927,331.3725565,75.09964678,184.7352996,329.9431072
Andreo,M,2,135.9009528,238.2311844,367.0912259,100.5120322,232.3314909,415.593275
Buka,F,1,98.15648259,201.6064555,234.0427813,60.53614819,160.827175,296.2128444
Eva,F,1,103.7826908,193.0051474,351.9964907,82.21292376,201.8566159,355.2005352
Evita,F,1,103.9929116,182.6710738,364.893399,82.62760207,189.7266983,367.1896714
Geronimo,M,2,116.3195239,286.0451727,402.1635686,125.4121485,285.4969569,502.284324
Juan ,M,2,131.5395523,268.4762498,420.938455,112.974687,260.9956365,499.0862029
Kauo,F,1,30.95367952,100.8522792,175.3217529,38.94480169,99.74026887,201.697924
Lucas,M,2,123.2675744,279.002041,402.2793107,110.5230954,269.2925135,495.0097087
Luna,F,1,90.66345271,209.0417215,320.3378652,76.42069143,203.1445795,345.4751974
Mika,F,1,27.20559949,82.18251655,195.7911477,35.79274434,92.74659983,208.8379148
Mono,M,2,126.8043315,237.4095612,397.2836944,91.30152301,233.4236445,431.1537376
Nenki,M,2,124.4534661,180.7766077,320.1552189,86.41980224,193.4029664,335.2116876
Nipa,F,1,118.2551228,171.284981,307.8901474,84.54707097,188.1751117,325.1687067
Oikamo,F,1,111.8486376,193.9301814,374.251925,89.34704941,206.0105051,395.5070336
Pedro,M,2,79.19500479,129.0353578,228.1831472,97.83450017,217.5092029,382.5901077
Poto ,M,2,113.2841868,196.5984428,372.035887,91.06311599,218.7191505,409.6155505
Sammy,M,2,119.9641574,239.7015308,376.388147,90.96532519,221.0961831,397.1217437
Sofia,F,1,88.58600039,181.117317,238.4656378,59.64263564,159.7846282,288.2180945
Vita,F,1,75.85793667,218.9232696,366.9310528,83.14015006,208.2043263,393.1791213
